Site,AKA,Date,CO2_umoles/L_syringe,CH4_umoles/L_syringe
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI","Allequash middle site, above culvert",2018-10-15,NA,NA
"Allequash Creek near Sayner, WI",Allequash upper site,2018-10-17,NA,NA
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI","Allequash middle site, above culvert",2018-10-17,NA,NA
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI","Allequash middle site, below culvert",2018-10-17,NA,NA
"Allequash Creek near Sayner, WI",Allequash upper site,2018-11-14,116.9,0.55
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI","Allequash middle site, below culvert",2018-11-14,83.7,2.73
"Allequash Creek near Sayner, WI",Allequash upper site,2018-11-29,180.7,0.68
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI","Allequash middle site, below culvert",2018-11-29,NA,2.11
"Allequash Creek near Sayner, WI",Allequash upper site,2019-02-13,153,3.84
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI","Allequash middle site, below culvert",2019-02-13,141.4,2.86
"Allequash Creek near Sayner, WI",Allequash upper site,2019-03-20,147.9,2.34
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI","Allequash middle site, below culvert",2019-03-20,99.2,1.74
"Allequash Creek near Sayner, WI",Allequash upper site,2019-03-29,131.6,2.51
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI","Allequash middle site, below culvert",2019-03-29,127.5,2.79
"Allequash Creek near Sayner, WI",Allequash upper site,2019-04-02,117,1.67
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI","Allequash middle site, below culvert",2019-04-02,135.2,3.37
"Allequash Creek near Sayner, WI",Allequash upper site,2019-04-08,140.5,2.63
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI","Allequash middle site, below culvert",2019-04-08,145.3,2.75
"Allequash Creek near Sayner, WI",Allequash upper site,2019-04-10,90.8,1.27
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI","Allequash middle site, below culvert",2019-04-10,114.2,2.73
"Allequash Creek near Sayner, WI",Allequash upper site,2019-04-16,92.5,0.96
"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI","Allequash middle site, below culvert",2019-04-16,120.2,2.72
"Allequash Creek near Sayner, WI",Allequash upper site,2019-04-18,90.5,0.69
